RightDriveModule/MotorPower,RightDriveModule/Distance,Time,Driver/LeftX,Driver/LeftY,Driver/RightX,Driver/RightY,PH/pressure,
0.0,0.0,0.081375,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.17263699999999882,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.17636499999999977,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.182875,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.18615699999999924,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.19016699999999948,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.1944589999999989,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.19896500000000014,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.20329299999999967,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2071959999999999,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.21110499999999957,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.21554600000000027,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2195010000000002,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.22444599999999992,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.22828600000000004,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.23234299999999894,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.23623099999999977,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.24185299999999915,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.24527800000000025,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2494899999999998,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.25355099999999947,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2574930000000004,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.26329600000000025,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.26746099999999934,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.27121799999999896,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.27546199999999954,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2816890000000003,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.28546699999999875,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2897489999999998,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.2938549999999996,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.2981299999999992,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.30316799999999966,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.3074259999999995,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.3118649999999998,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.3161790000000001,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.32347500000000035,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
