LeftDriveModule/MotorPower,RightDriveModule/MotorPower,Time,Driver/LeftX,Driver/LeftY,Driver/RightX,Driver/RightY,PH/pressure,
0.0,0.0,6.019999999989522E-4,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.017552999999999885,0.0,-0.0078125,0.0,-0.0078125,-24.0195,
0.0,0.0,0.03719700000000012,0.0,-0.0078125,0.0,-0.0078125,-24.0195,
0.0,0.0,0.05725299999999697,0.0,-0.0078125,0.0,-0.0078125,-24.0195,
0.0,0.0,0.07718099999999686,0.0,-0.0078125,0.0,-0.0078125,-24.0195,
0.0,0.0,0.09724099999999453,0.0,-0.0078125,0.0,-0.0078125,-24.0195,
0.0,0.0,0.11726199999998789,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.13723500000000058,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.15722499999999126,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.17727099999999335,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.1972619999999879,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2171970000000001,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.23721899999999732,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.2572049999999872,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.27772699999999895,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.29723799999999756,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.3172489999999962,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.33724899999999614,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.357252999999997,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.37727999999999884,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.39722799999998826,0.0,-0.0078125,0.0,-0.0078125,-24.0164263322884,
0.0,0.0,0.41720100000000093,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.437208999999988,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.4572149999999965,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.47721399999999264,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.4972179999999935,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.5172209999999905,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.5372439999999915,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.5572479999999923,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.5772129999999889,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.5972629999999918,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.6172969999999914,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.6372209999999905,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.657255999999994,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
0.0,0.0,0.6772509999999893,0.0,-0.0078125,0.0,-0.0078125,-24.017965571205007,
